Time,Accel. Pedal[%],Ambient pressure[psig],Boost (Pre-Throttle)[psig],Boost Pressure (Deviation)[psig],Boost pressure (Target)[psig],Coolant Temp[F],Engine speed[1/min],Gear[-],HPFP (Target)[psig],HPFP Act.[psig],IAT[F],Ignition Cyl 1[deg],Ignition Timing 1[deg],Ignition Timing 2[deg],Ignition Timing 3[deg],Ignition Timing 4[deg],Ignition Timing 5[deg],Ignition Timing 6[deg],Knock Detected[0-n],LPFP Act. (Raw)[psig],LTFT[-],Lambda[AFR],Lambda Act.[AFR],Load Act. (Rel.)[%],Load Target (Rel.)[%],MAF[kg/h],STFT[-],Throttle Angle[%],Vehicle Speed[mph],WGDC[%],(BM3) Flex Ethanol %[%],(BM3) Flex Ethanol % (Sensor)[%],(BM3) Map Slot[],(RAM) Boost (MAP)[psig],(RAM) Boost (Pre-Throttle)[psig],(RAM) Boost Pressure (Manifold Target)[psig],(RAM) Boost Pressure (Target)[psig],(RAM) Boost Setpoint[-],(RAM) Boost Setpoint[-],(RAM) Boost Setpoint (Throttle)[-],(RAM) Fuel Inj. Angle (End)[Grad KW],(RAM) HPFP Angle (Final)[Grad KW],(RAM) Ignition Timing Corr. Cyl. 1[ï¿½],(RAM) Ignition Timing Corr. Cyl. 2[ï¿½],(RAM) Ignition Timing Corr. Cyl. 3[ï¿½],(RAM) Ignition Timing Corr. Cyl. 4[ï¿½],(RAM) Ignition Timing Corr. Cyl. 5[ï¿½],(RAM) Ignition Timing Corr. Cyl. 6[ï¿½],(RAM) Lambda Main (Target) 1[-],(RAM) Lambda Main (Target) 2[-],(RAM) Load (Limit)[%],(RAM) Load (Target)[%],(RAM) Load Rf (Actual)[%],(RAM) Rel. Fill Limit (Flag)[-],(RAM) Torque Limit (Flag)[-],(RAM) Torque at Clutch (Actual)[Nm],(RAM) Torque at Clutch (Target)[Nm],bootmod3_2.00.012_unknown,67f556e1292c3f48ff6da8f5
1.375,20,-0.2,3.3,-14.696,0.0,164,2950,3,5060,5046,99,21.7,22.0,22.0,22.0,22.0,22.0,22.0,0,72,0.99,14.59,14.58,18.3,55.5,188.0,1.06,23,33,96,0,0,1,0.059,3.010,24.449,24.449,1.517,1.517,1.058,0.0000,46.500,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,1.0000,299.00,101.5100,69.50,0.0,0,178.60,205.000,
1.489,99,-0.2,2.3,6.104,22.6,164,3044,3,5060,4983,99,15.0,15.0,7.9,9.7,9.2,12.8,9.7,0,72,0.99,14.66,14.67,25.7,84.0,292.0,1.06,61,33,99,0,0,1,2.496,2.453,24.705,34.639,2.160,2.160,1.717,0.0000,63.600,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,1.0000,299.00,160.2600,92.68,0.0,0,269.50,302.100,
1.607,99,-0.2,3.8,6.504,22.6,164,3120,3,5060,5124,99,9.7,10.1,8.3,12.0,9.7,12.5,12.0,0,72,0.99,14.73,14.61,33.9,102.7,372.0,1.11,99,34,99,0,0,1,5.267,5.227,24.705,34.858,2.686,2.686,2.558,0.0000,64.200,0.000,0.000,0.000,0.000,0.000,0.000,1.0000,1.0000,299.00,297.0200,111.43,0.0,0,360.60,371.800,
1.773,99,-0.2,5.8,4.504,22.6,164,3240,3,5060,5059,99,10.5,11.0,10.5,10.5,11.0,10.5,10.5,0,72,0.99,13.72,13.75,38.2,115.5,432.0,1.06,99,35,99,0,0,1,7.501,7.357,24.705,34.510,2.799,2.799,2.300,0.0000,68.100,0.000,0.000,0.000,0.000,0.000,0.000,0.9958,0.9958,299.00,297.7800,125.02,0.0,0,396.30,409.200,
1.855,99,-0.2,9.3,1.204,22.6,164,3388,3,5060,5069,99,6.7,7.0,7.0,7.5,7.0,7.0,7.0,0,72,0.99,14.10,14.10,44.9,136.5,532.0,1.03,99,37,99,0,0,1,10.695,10.569,24.705,34.594,2.845,2.845,2.011,0.0000,74.900,0.000,0.000,0.000,0.000,0.000,0.000,0.9829,0.9829,299.00,298.1300,144.90,0.0,0,456.70,477.000,
1.990,99,-0.2,11.7,-1.196,22.6,164,3484,3,5060,5070,99,4.5,5.2,5.1,5.4,6.0,5.5,5.1,0,72,0.99,14.19,14.21,50.3,152.2,616.0,1.02,99,38,99,0,0,1,13.279,13.058,24.705,34.639,2.861,2.861,1.832,0.0000,79.300,0.000,0.000,0.000,0.000,0.000,0.000,0.9797,0.9797,299.00,298.4400,160.17,0.0,0,504.20,524.400,
2.173,99,-0.2,16.5,-5.596,22.6,164,3678,3,5060,5092,99,3.7,4.0,3.5,3.9,3.6,3.7,3.5,0,72,0.99,14.29,14.29,57.8,180.0,776.0,1.01,100,39,97,0,0,1,19.683,19.746,24.705,34.829,2.890,2.890,1.472,0.0000,90.100,0.000,0.000,0.000,0.000,0.000,0.000,0.9602,0.9602,299.00,298.8500,201.26,0.0,0,632.90,648.700,
2.322,99,-0.2,21.3,-10.996,22.6,164,3915,3,5060,5093,99,3.0,3.5,3.5,3.5,3.5,3.5,3.4,0,72,0.99,14.03,14.03,69.9,191.2,972.0,1.01,100,42,90,0,0,1,21.455,21.783,24.706,35.064,2.905,2.905,1.381,0.0000,95.700,0.000,0.000,0.000,0.000,0.000,0.000,0.9565,0.9565,299.00,298.8800,214.33,0.0,0,687.00,692.000,
2.435,99,-0.2,21.7,-11.796,22.6,164,4161,3,5060,5080,99,3.7,4.0,4.0,4.0,4.0,4.0,4.0,0,72,0.99,13.85,13.85,71.4,191.2,1020.0,1.00,99,44,89,0,0,1,21.394,21.802,24.706,35.443,2.913,2.913,1.390,0.0000,97.400,0.000,0.000,0.000,0.000,0.000,0.000,0.9267,0.9267,299.00,298.8900,215.28,0.0,0,694.70,698.800,
2.525,99,-0.2,21.8,-11.896,22.6,164,4308,3,5060,5072,99,4.5,4.5,4.5,4.5,4.5,4.5,4.3,0,72,0.99,13.64,13.64,71.8,191.2,1020.0,1.00,99,46,92,0,0,1,21.601,22.035,24.706,35.538,2.916,2.916,1.386,0.0000,96.800,0.000,0.000,0.000,0.000,0.000,0.000,0.9206,0.9206,299.00,298.9200,216.76,0.0,0,702.80,704.600,
